year,crops,irr,nat_yield,scenario,region_code,irr_label
53,wheat_winter,1,3.191108040162312,control,Control,Irrigated
53,wheat_winter,2,2.8548829441795283,control,Control,Dry
54,barley_spring,1,6.579612454312562,control,Control,Irrigated
54,barley_spring,2,3.1721105541611934,control,Control,Dry
54,corn_grain,1,7.718301719834677,control,Control,Irrigated
54,corn_grain,2,7.557598746140892,control,Control,Dry
54,corn_silage,1,30.422760705296984,control,Control,Irrigated
54,corn_silage,2,23.028924570011334,control,Control,Dry
54,cotton_upland,1,0.8832108668891109,control,Control,Irrigated
54,cotton_upland,2,0.9934638260026809,control,Control,Dry
54,hay_alfalfa,1,10.365750188344581,control,Control,Irrigated
54,hay_alfalfa,2,4.39054019387209,control,Control,Dry
54,hay_non_alfalfa,1,5.2554435655440015,control,Control,Irrigated
54,hay_non_alfalfa,2,4.450191223240527,control,Control,Dry
54,oats_fall,2,1.2008523763379166,control,Control,Dry
54,oats_spring,1,3.4407414949933197,control,Control,Irrigated
54,oats_spring,2,2.151078624295401,control,Control,Dry
54,potatoes_fall,1,49.652573764251656,control,Control,Irrigated
54,potatoes_summer,2,25.968823115095272,control,Control,Dry
54,rice,1,6.535309354128071,control,Control,Irrigated
54,soybeans,1,2.6697021944584325,control,Control,Irrigated
54,soybeans,2,2.1480265939011938,control,Control,Dry
54,sugarbeets,1,60.87279216201434,control,Control,Irrigated
54,wheat_durum,2,2.4638277741450296,control,Control,Dry
54,wheat_spring,1,4.433759798274207,control,Control,Irrigated
54,wheat_spring,2,3.575177196024496,control,Control,Dry
54,wheat_winter,1,3.2748733835909976,control,Control,Irrigated
54,wheat_winter,2,2.870534046223867,control,Control,Dry
55,barley_spring,1,6.592043976020703,control,Control,Irrigated
55,barley_spring,2,3.1799721688241913,control,Control,Dry
55,corn_grain,1,7.707425645969572,control,Control,Irrigated
55,corn_grain,2,7.434863599335531,control,Control,Dry
55,corn_silage,1,30.114958404376498,control,Control,Irrigated
55,corn_silage,2,22.705934624745243,control,Control,Dry
55,cotton_upland,1,0.877295122158369,control,Control,Irrigated
55,cotton_upland,2,0.9765542631522574,control,Control,Dry
55,hay_alfalfa,1,10.365944728671595,control,Control,Irrigated
55,hay_alfalfa,2,4.363148586411253,control,Control,Dry
55,hay_non_alfalfa,1,5.25558983822575,control,Control,Irrigated
55,hay_non_alfalfa,2,4.398951321573522,control,Control,Dry
55,oats_fall,2,1.4558976757216586,control,Control,Dry
55,oats_spring,1,3.4464717379098886,control,Control,Irrigated
55,oats_spring,2,2.172309659646052,control,Control,Dry
55,potatoes_fall,1,49.8500170849907,control,Control,Irrigated
55,potatoes_summer,2,25.717356717869155,control,Control,Dry
55,rice,1,6.5393201137312795,control,Control,Irrigated
55,soybeans,1,2.661813007043638,control,Control,Irrigated
55,soybeans,2,2.1349481364685885,control,Control,Dry
